,Ref ID,Gender,Age_Group,City,Smart_Phone,Tablet,Commuting_Mode,Commuting_Time,Commuting_Time_Minutes,No_of_Books_read_in_a_year,No_of_Books_read_in_a_year_Number,Start_Time_Slots,Event_Duration_Minutes_2_Weeks,Event_Duration_Minutes_3_Weeks,Event_Duration_Minutes_5_Weeks,Device_Type,Product_Running_Time,Completion_Rate_2_Weeks,Completion_Rate_5_Weeks,Genre,Subscription_Type,Membership_Duration,Average_Listening_Speed,Number_of_Audiobooks_Completed,Number_of_Audiobooks_Completed_Buckets,Number_of_Audiobooks_Purchased,Number_of_Audiobooks_Purchased_Buckets,Preferred_Listening_Time,Listening_Context,Listening_Device_Preference,Language_Preference,Accessibility_Features_Use,Download_vs_Streaming,Time_Spent_Browsing,Time_Spent_Browsing_Buckets,Genre_Exploration,Top 100 in Respective Genre,Product_Name,Publisher_Name,Product_Narrator,Repeat_Listening,Ratings_Given,Reviews_Written,Recommendations_Followed,Social_Sharing,Users_Retained_5Weeks,Engagement_Rate,Listening_Speed_Numeric
10,30,Male,31 - 35 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,5 - 6 books,5,Morning,2.0,10.0,12.0,Audible for Android,365,1.0,3.0,Parenting & Relationships,Per-book,19,1x,26,11- 30 Books,36,31 - 60 Books,Night,Commuting,Smartphone,Spanish,True,Streaming,72,61 - 100 Minutes,2,In top 100,The Power of Your Subconscious Mind,"Big Happy Family, LLC",Jason McCoy,False,3,False,True,False,0,0.41935483870967744,1.0
11,35,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,Less than 15 mins,15,1 book,1,Morning,0.0,2.0,3.0,Audible for Android,1498,0.0,0.0,Mysteries & Thrillers,Monthly,8,1.5x,96,61 - 100 Books,3,Less than 10,Morning,Commuting,Tablet,English,False,Download,106,More than 100 Minutes,3,Not in Top 100,The Krishna Key (Unabridged),Audible Studios,Nikesh Patel,False,3,True,False,True,0,0.9696969696969697,1.5
12,37,Male,25 - 30 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,Less than 15 mins,15,7 - 12 books,9,Afternoon_Early_Evening,3.0,3.0,6.0,Audible for iPhone (1000),1688,0.0,0.0,Literature & Fiction,Monthly,12,2x,61,61 - 100 Books,34,31 - 60 Books,Evening,Exercising,Smartphone,German,False,Download,19,11- 30 Minutes,5,Not in Top 100,Battle for Bittora (Unabridged),Audible Studios,Meetu Chilana,True,1,False,False,True,0,0.6421052631578947,2.0
13,39,Male,18 - 24 years,Hyderabad,Both Phones,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,7 - 12 books,9,Late_Night_Early_Morning,38.0,8.0,46.0,Audible for Android,147,26.0,31.0,Literature & Fiction,Yearly,58,2x,0,Less than 10,82,61 - 100 Books,Evening,Relaxing,PC,Spanish,True,Streaming,19,11- 30 Minutes,7,Not in Top 100,Brain Droppings,"HighBridge, a division of Recorded Books",George Carlin,True,4,False,True,True,0,0.0,2.0
14,49,Female,25 - 30 years,Chennai,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,2 - 4 books,3,Morning,8.0,8.0,16.0,Audible for Android,466,2.0,3.0,Literature & Fiction,Per-book,57,1x,96,61 - 100 Books,9,Less than 10,Morning,Exercising,Smartphone,English,True,Streaming,13,11- 30 Minutes,3,Not in Top 100,It Happens for a Reason (Unabridged),Audible Studios,Meetu Chilana,False,5,False,False,False,0,0.9142857142857143,1.0
15,51,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,More than 12 books,13,Late_Evening_Night,1.0,1.0,1.0,Audible for Android,1229,0.0,0.0,Literature & Fiction,Monthly,4,2x,29,11- 30 Books,96,61 - 100 Books,Night,Relaxing,Smart Speaker,English,False,Streaming,78,61 - 100 Minutes,3,Not in Top 100,Crime and Punishment (Unabridged),"Blackstone Audio, Inc.",Anthony Heald,True,4,True,False,False,0,0.232,2.0
16,54,Male,18 - 24 years,Hyderabad,Both Phones,IOS Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,7 - 12 books,9,Morning,19.0,3.0,22.0,Audible for iPhone (1000),160,12.0,14.000000000000002,Religion & Spirituality,Monthly,7,1.5x,48,31 - 60 Books,94,61 - 100 Books,Night,Commuting,Smartphone,English,False,Download,82,61 - 100 Minutes,6,In top 100,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,False,2,True,False,True,0,0.3380281690140845,1.5
17,56,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,5 - 6 books,5,Late_Night_Early_Morning,13.0,1.0,14.0,Audible for Android,144,9.0,10.0,Religion & Spirituality,Per-book,41,1.25x,81,61 - 100 Books,84,61 - 100 Books,Morning,Relaxing,PC,French,False,Download,44,31 - 60 Minutes,7,Not in Top 100,The Guiding Light. A Selection of Quotations from My Favourite Books (Unabridged),Audible Studios,Sam Dastor,True,4,False,False,False,0,0.4909090909090909,1.25
18,57,Male,31 - 35 years,Hyderabad,Android,Both Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,More than 12 books,13,Morning,1.0,8.0,9.0,Audible for Android,160,1.0,6.0,Parenting & Relationships,Monthly,19,1x,47,31 - 60 Books,27,11- 30 Books,Afternoon,Working,Tablet,Spanish,False,Download,61,61 - 100 Minutes,2,Not in Top 100,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,True,3,True,False,False,0,0.6351351351351351,1.0
19,62,Female,25 - 30 years,Delhi,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,2 - 4 books,3,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for iPhone (1000),565,0.0,0.0,Literature & Fiction,Per-book,4,1x,84,61 - 100 Books,52,31 - 60 Books,Evening,Exercising,Smart Speaker,Spanish,False,Download,104,More than 100 Minutes,6,Not in Top 100,Play with Me (Unabridged),Audible Studios,Jennifer Mack,False,2,True,True,False,0,0.6176470588235294,1.0
20,66,Male,18 - 24 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,2 - 4 books,3,Afternoon_Early_Evening,15.0,15.0,31.0,Audible for iPhone (1000),1078,1.0,3.0,Education & Teaching,Monthly,22,2x,95,61 - 100 Books,40,31 - 60 Books,Night,Working,Tablet,English,True,Streaming,109,More than 100 Minutes,2,Not in Top 100,Six Days of War: June 1967 and the Making of the Modern Middle East (Unabridged),"Blackstone Audio, Inc.",Robert Whitfield,False,2,True,True,True,0,0.7037037037037037,2.0
21,68,Male,25 - 30 years,Bangalore,Android,IOS Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,5 - 6 books,5,Late_Evening_Night,24.0,0.0,25.0,Audible for Android,1387,2.0,2.0,Business & Money,Per-book,44,1.75x,87,61 - 100 Books,67,61 - 100 Books,Night,Relaxing,PC,English,True,Streaming,57,31 - 60 Minutes,6,Not in Top 100,48 Laws of Power (Unabridged),"HighBridge, a Division of Recorded Books",Richard Poe,True,3,True,True,True,0,0.564935064935065,1.75
22,69,Male,31 - 35 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,7 - 12 books,9,Late_Night_Early_Morning,2.0,2.0,3.0,Audible for Android,197,1.0,2.0,Parenting & Relationships,Per-book,46,1x,14,11- 30 Books,66,61 - 100 Books,Afternoon,Commuting,Tablet,French,False,Download,69,61 - 100 Minutes,3,Not in Top 100,"You Can Read Anyone: Never Be Fooled, Lied to, or Taken Advantage of Again (Unabridged)","Gildan Media, LLC",David J. Lieberman,True,4,False,False,False,0,0.175,1.0
23,70,Male,18 - 24 years,Chennai,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,1 - 2 hours,90,2 - 4 books,3,Late_Evening_Night,14.0,14.0,28.0,Audible for Android,160,9.0,18.0,Religion & Spirituality,Monthly,42,1.25x,92,61 - 100 Books,9,Less than 10,Afternoon,Working,PC,German,True,Download,2,Less than 10 Minutes,9,In top 100,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,True,1,True,False,False,0,0.9108910891089109,1.25
24,76,Male,31 - 35 years,Bangalore,Android,IOS Tablet,Public Transport,16 mins - 1 hour,38,2 - 4 books,3,Late_Evening_Night,2.0,2.0,5.0,Audible for Android,292,1.0,2.0,Literature & Fiction,Monthly,25,1.25x,86,61 - 100 Books,55,31 - 60 Books,Morning,Working,Smart Speaker,German,False,Download,92,61 - 100 Minutes,3,Not in Top 100,The Great Gatsby (Unabridged),Audible Studios,Jake Gyllenhaal,True,3,False,False,False,0,0.6099290780141844,1.25
25,78,Male,25 - 30 years,Chennai,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,2 - 4 books,3,Afternoon_Early_Evening,7.0,7.0,13.0,Audible for Android,1498,0.0,1.0,Mysteries & Thrillers,Monthly,45,2x,24,11- 30 Books,39,31 - 60 Books,Night,Relaxing,Smartphone,French,False,Streaming,99,61 - 100 Minutes,8,Not in Top 100,The Krishna Key (Unabridged),Audible Studios,Nikesh Patel,False,4,True,True,False,0,0.38095238095238093,2.0
26,79,Male,25 - 30 years,Chennai,Android,Android Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,2 - 4 books,3,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,192,1.0,1.0,Parenting & Relationships,Yearly,27,1.75x,6,Less than 10,30,11- 30 Books,Night,Exercising,Smartphone,German,True,Streaming,6,Less than 10 Minutes,4,Not in Top 100,How to Make People Like You in 90 Seconds or Less (Unabridged),"Listen & Live Audio, Inc.",Nicholas Boothman,False,5,True,True,False,0,0.16666666666666666,1.75
27,86,Female,18 - 24 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,7 - 12 books,9,Afternoon_Early_Evening,7.0,7.0,13.0,Audible for iPhone (1000),160,4.0,8.0,Religion & Spirituality,Per-book,41,1.5x,25,11- 30 Books,40,31 - 60 Books,Night,Relaxing,Smartphone,Other,True,Download,81,61 - 100 Minutes,5,In top 100,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,False,5,True,True,False,0,0.38461538461538464,1.5
28,89,Male,25 - 30 years,Chennai,IOS,No Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,1 book,1,Morning,0.0,2.0,2.0,Audible for iPhone (1000),231,0.0,1.0,Parenting & Relationships,Per-book,40,1.25x,73,61 - 100 Books,76,61 - 100 Books,Afternoon,Commuting,PC,German,False,Download,108,More than 100 Minutes,6,Not in Top 100,The Practicing Mind: Developing Focus and Discipline in Your Life (Unabridged),Mountain Sage Publishing,Thomas M. Sterner,True,1,False,False,True,0,0.4899328859060403,1.25
29,90,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,More than 2 hours,135,2 - 4 books,3,Morning,1.0,1.0,1.0,Audible for Android,160,1.0,1.0,Religion & Spirituality,Monthly,16,2x,67,61 - 100 Books,95,61 - 100 Books,Morning,Exercising,Smart Speaker,Spanish,True,Download,90,61 - 100 Minutes,4,In top 100,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,True,4,True,False,False,0,0.41358024691358025,2.0
30,92,Male,25 - 30 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,7 - 12 books,9,Afternoon_Early_Evening,2.0,2.0,4.0,Audible for iPhone (1000),849,0.0,0.0,Biographies & Memoirs,Per-book,28,1.5x,20,11- 30 Books,16,11- 30 Books,Morning,Relaxing,PC,Spanish,True,Download,95,61 - 100 Minutes,7,Not in Top 100,Breakfast at Sally's: One Homeless Man's Inspirational Journey (Unabridged),Audible Studios,Dick Hill,True,2,False,False,False,0,0.5555555555555556,1.5
31,100,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,More than 2 hours,135,2 - 4 books,3,Morning,17.0,10.0,26.0,Audible for Android,1482,1.0,2.0,Biographies & Memoirs,Per-book,32,1x,49,31 - 60 Books,67,61 - 100 Books,Morning,Exercising,Smart Speaker,Spanish,False,Streaming,52,31 - 60 Minutes,9,Not in Top 100,Stay Hungry Stay Foolish (Unabridged),Audible Studios,Shaheen Khan,True,3,False,True,True,0,0.4224137931034483,1.0
32,101,Male,41 - 45 years,Bangalore,Android,IOS Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,7 - 12 books,9,Late_Evening_Night,2.0,2.0,3.0,Audible for Android,160,1.0,2.0,Parenting & Relationships,Per-book,58,1.75x,4,Less than 10,4,Less than 10,Morning,Commuting,Smartphone,English,True,Download,74,61 - 100 Minutes,8,Not in Top 100,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,True,3,True,False,True,0,0.5,1.75
33,102,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,5 - 6 books,5,Late_Night_Early_Morning,11.0,11.0,22.0,Audible for Android,2069,1.0,1.0,Biographies & Memoirs,Per-book,43,1.75x,97,61 - 100 Books,66,61 - 100 Books,Morning,Commuting,PC,French,True,Download,35,31 - 60 Minutes,6,Not in Top 100,Kissinger: A Biography (Unabridged),"Blackstone Audio, Inc.",Malcolm Hillgartner,True,3,False,True,False,0,0.5950920245398773,1.75
34,107,Male,31 - 35 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,7 - 12 books,9,Afternoon_Early_Evening,1.0,1.0,1.0,Audible for iPhone (1000),691,0.0,0.0,Biographies & Memoirs,Monthly,2,1.5x,84,61 - 100 Books,37,31 - 60 Books,Evening,Relaxing,PC,French,True,Download,119,More than 100 Minutes,9,Not in Top 100,"Surely You're Joking, Mr. Feynman! (Unabridged)","Blackstone Audio, Inc.",Raymond Todd,False,2,False,False,False,0,0.6942148760330579,1.5
35,109,Male,25 - 30 years,Bangalore,Android,No Tablet,walk,16 mins - 1 hour,38,2 - 4 books,3,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,123,1.0,2.0,Literature & Fiction,Monthly,43,2x,74,61 - 100 Books,38,31 - 60 Books,Morning,Commuting,PC,French,False,Download,51,31 - 60 Minutes,5,Not in Top 100,"Addicted: A Club Destiny Novella, Book 2.5 (Unabridged)","Blackstone Audio, Inc.","Sabrina Brooks, Jay Crow",False,1,False,False,True,0,0.6607142857142857,2.0
36,117,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,2 - 4 books,3,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for Android,405,0.0,0.0,Mysteries & Thrillers,Yearly,58,1.75x,29,11- 30 Books,5,Less than 10,Afternoon,Relaxing,Smartphone,French,True,Download,108,More than 100 Minutes,6,Not in Top 100,The Hound of the Baskervilles: A Sherlock Holmes Novel (Unabridged),Tantor Audio,Simon Prebble,False,2,True,False,True,0,0.8529411764705882,1.75
37,120,Female,18 - 24 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,5 - 6 books,5,Afternoon_Early_Evening,2.0,2.0,4.0,Audible for Android,445,0.0,1.0,Children's Audiobooks,Per-book,3,1.5x,47,31 - 60 Books,48,31 - 60 Books,Evening,Exercising,Smartphone,French,False,Download,103,More than 100 Minutes,2,Not in Top 100,Heidi (Unabridged),"Blackstone Audio, Inc.",Johanna Ward,True,3,False,False,True,0,0.49473684210526314,1.5
38,121,Male,25 - 30 years,Hyderabad,Other,Android Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,More than 12 books,13,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,860,0.0,0.0,Social Sciences,Monthly,38,2x,30,11- 30 Books,52,31 - 60 Books,Morning,Commuting,Tablet,French,True,Streaming,23,11- 30 Minutes,8,Not in Top 100,The Black Swan: The Impact of the Highly Improbable (Unabridged),Recorded Books,David Chandler,True,2,True,False,True,0,0.36585365853658536,2.0
39,126,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,2 - 4 books,3,Late_Night_Early_Morning,0.0,0.0,0.0,Audible for Android,365,0.0,0.0,Parenting & Relationships,Per-book,41,1.25x,58,31 - 60 Books,68,61 - 100 Books,Morning,Relaxing,Smartphone,Spanish,False,Download,110,More than 100 Minutes,8,In top 100,The Power of Your Subconscious Mind,"Big Happy Family, LLC",Jason McCoy,True,4,False,True,False,0,0.4603174603174603,1.25
40,128,Male,25 - 30 years,Hyderabad,Both Phones,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,More than 12 books,13,Late_Evening_Night,1.0,1.0,1.0,Audible for Android,244,0.0,0.0,Religion & Spirituality,Per-book,29,1.25x,73,61 - 100 Books,95,61 - 100 Books,Morning,Relaxing,Tablet,Other,True,Streaming,17,11- 30 Minutes,3,Not in Top 100,7 Secrets of Shiva. The Hindu Trinity Series (Unabridged),Audible Studios,Sagar Arya,False,1,True,True,True,0,0.43452380952380953,1.25
41,135,Male,25 - 30 years,Chennai,Both Phones,IOS Tablet,walk,Less than 15 mins,15,2 - 4 books,3,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for iPhone (1000),58,0.0,2.0,Education & Teaching,Yearly,50,1.25x,18,11- 30 Books,72,61 - 100 Books,Afternoon,Relaxing,Smartphone,English,True,Streaming,55,31 - 60 Minutes,2,Not in Top 100,Learn Spanish - Word Power 101: Absolute Beginner Spanish #6 (Unabridged),"Innovative Language Learning, LLC",SpanishPod101.com,False,2,False,False,True,0,0.2,1.25
42,137,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,More than 12 books,13,Morning,1.0,1.0,3.0,Audible for Android,348,0.0,1.0,Literature & Fiction,Monthly,28,1.75x,51,31 - 60 Books,4,Less than 10,Morning,Working,Smart Speaker,German,False,Streaming,15,11- 30 Minutes,5,Not in Top 100,"Life Is What You Make It. A story of love, hope and how determination can overcome even destiny (Unabridged)",Audible Studios,Smita Singh,False,1,True,True,False,0,0.9272727272727272,1.75
43,139,Male,25 - 30 years,Hyderabad,Both Phones,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,7 - 12 books,9,Afternoon_Early_Evening,2.0,3.0,4.0,Audible for Android,109,2.0,4.0,Parenting & Relationships,Yearly,19,1x,32,31 - 60 Books,55,31 - 60 Books,Evening,Relaxing,PC,French,True,Download,95,61 - 100 Minutes,3,In top 100,Vipassana Dhyan (Hindi),Osho International,OSHO,False,1,True,False,False,0,0.367816091954023,1.0
44,143,Male,31 - 35 years,Chennai,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,2 - 4 books,3,Late_Evening_Night,0.0,0.0,1.0,Audible for Android,322,0.0,0.0,Parenting & Relationships,Per-book,41,1.25x,98,61 - 100 Books,22,11- 30 Books,Evening,Commuting,Smartphone,Spanish,True,Download,116,More than 100 Minutes,5,Not in Top 100,Leadership & Self-Deception: Getting Out of the Box (Unabridged),"Blackstone Audio, Inc.",Peter Berkrot,True,1,True,True,True,0,0.8166666666666667,1.25
45,145,Male,18 - 24 years,Bangalore,Android,No Tablet,walk,Less than 15 mins,15,5 - 6 books,5,Afternoon_Early_Evening,6.0,6.0,13.0,Audible for Android,1505,0.0,1.0,Mysteries & Thrillers,Per-book,52,2x,19,11- 30 Books,73,61 - 100 Books,Evening,Exercising,Smart Speaker,Other,True,Download,107,More than 100 Minutes,3,Not in Top 100,The Woman in White (Unabridged),Tantor Audio,"Josephine Bailey, Simon Prebble",True,1,True,False,True,0,0.20652173913043478,2.0
46,147,Male,31 - 35 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,More than 12 books,13,Morning,9.0,1.0,10.0,Audible for Android,399,2.0,3.0,Literature & Fiction,Per-book,36,1x,87,61 - 100 Books,46,31 - 60 Books,Morning,Working,PC,French,False,Download,114,More than 100 Minutes,6,Not in Top 100,The Road (Unabridged),Recorded Books,Tom Stechschulte,False,4,True,True,True,0,0.6541353383458647,1.0
47,148,Male,31 - 35 years,Chennai,Android,No Tablet,walk,Less than 15 mins,15,More than 12 books,13,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,734,0.0,0.0,Literature & Fiction,Yearly,23,2x,11,11- 30 Books,92,61 - 100 Books,Morning,Relaxing,Tablet,German,True,Download,59,31 - 60 Minutes,6,Not in Top 100,The Idiot,Mission Audio,Simon Vance,False,1,False,True,False,0,0.10679611650485436,2.0
